symbol,date,open,high,low,close
BCH,2017-08-01T00:00:00Z,421,488.8,218.39,439.27
BCH,2017-08-02T00:00:00Z,439.27,974.71,362.02,551.59
BCH,2017-08-03T00:00:00Z,551.59,635.73,381.08,405.92
BCH,2017-08-04T00:00:00Z,405.92,414.38,252.57,253.13
BCH,2017-08-05T00:00:00Z,253.13,294.84,206.64,220.3
BCH,2017-08-06T00:00:00Z,220.3,241.87,210.13,241.87
BCH,2017-08-07T00:00:00Z,241.87,411.56,239.47,322.6
BCH,2017-08-08T00:00:00Z,322.6,388.34,310.51,343.43
BCH,2017-08-09T00:00:00Z,343.43,349.93,289.74,301.17
BCH,2017-08-10T00:00:00Z,301.17,312.53,268.44,274.48
BCH,2017-08-11T00:00:00Z,274.48,352.53,271.46,326.26
BCH,2017-08-12T00:00:00Z,326.26,344.59,311.04,316
BCH,2017-08-13T00:00:00Z,316,317.69,293.93,295.15
BCH,2017-08-14T00:00:00Z,295.15,329.77,291.25,300.03
BCH,2017-08-15T00:00:00Z,300.03,307.42,290.02,297.36
BCH,2017-08-16T00:00:00Z,297.36,309.36,285.48,299.68
BCH,2017-08-17T00:00:00Z,299.68,449.75,292.4,445.19
BCH,2017-08-18T00:00:00Z,445.19,777.54,437.81,689.83
BCH,2017-08-19T00:00:00Z,689.83,965.48,604.03,738.54
BCH,2017-08-20T00:00:00Z,738.54,849.16,677.96,719.27
BCH,2017-08-21T00:00:00Z,719.27,749.65,557.92,605.22
BCH,2017-08-22T00:00:00Z,605.22,734.16,566.86,684.6
BCH,2017-08-23T00:00:00Z,684.6,710.85,651.32,674.08
BCH,2017-08-24T00:00:00Z,674.08,701.11,601.6,619.83
BCH,2017-08-25T00:00:00Z,619.83,664.74,615.09,632.48
BCH,2017-08-26T00:00:00Z,632.48,638.56,612.25,621.43
BCH,2017-08-27T00:00:00Z,621.43,651.88,581.68,616.29
BCH,2017-08-28T00:00:00Z,616.29,626.64,581.81,591.11
BCH,2017-08-29T00:00:00Z,591.11,596.56,524.32,544.74
BCH,2017-08-30T00:00:00Z,544.74,613.18,529.64,580.34
BCH,2017-08-31T00:00:00Z,580.34,609.23,570.5,592.59
BCH,2017-09-01T00:00:00Z,592.59,653.56,586.63,628.73
BCH,2017-09-02T00:00:00Z,628.73,645.8,560.98,572.65
BCH,2017-09-03T00:00:00Z,572.65,622.73,559.22,609.85
BCH,2017-09-04T00:00:00Z,609.85,611.5,496.84,519.3
BCH,2017-09-05T00:00:00Z,519.3,560.22,472.51,546.74
BCH,2017-09-06T00:00:00Z,546.74,657.3,539.13,647.64
BCH,2017-09-07T00:00:00Z,647.64,718.92,604.32,667.56
BCH,2017-09-08T00:00:00Z,667.56,698.49,573.09,605.66
BCH,2017-09-09T00:00:00Z,605.66,610.28,565.57,586.24
BCH,2017-09-10T00:00:00Z,586.24,586.81,524.98,556.9
