Category: All categories

Week,drone racing: (Worldwide)
2014-11-09,2
2014-11-16,2
2014-11-23,4
2014-11-30,6
2014-12-07,7
2014-12-14,5
2014-12-21,5
2014-12-28,4
2015-01-04,6
2015-01-11,5
2015-01-18,5
2015-01-25,6
2015-02-01,5
2015-02-08,6
2015-02-15,5
2015-02-22,7
2015-03-01,6
2015-03-08,7
2015-03-15,7
2015-03-22,7
2015-03-29,7
2015-04-05,6
2015-04-12,6
2015-04-19,4
2015-04-26,5
2015-05-03,6
2015-05-10,7
2015-05-17,6
2015-05-24,5
2015-05-31,5
2015-06-07,11
2015-06-14,14
2015-06-21,13
2015-06-28,10
2015-07-05,9
2015-07-12,14
2015-07-19,17
2015-07-26,20
2015-08-02,11
2015-08-09,15
2015-08-16,14
2015-08-23,11
2015-08-30,11
2015-09-06,10
2015-09-13,9
2015-09-20,10
2015-09-27,12
2015-10-04,11
2015-10-11,11
2015-10-18,10
2015-10-25,11
2015-11-01,12
2015-11-08,12
2015-11-15,14
2015-11-22,15
2015-11-29,12
2015-12-06,14
2015-12-13,15
2015-12-20,19
2015-12-27,19
2016-01-03,16
2016-01-10,13
2016-01-17,15
2016-01-24,100
2016-01-31,56
2016-02-07,37
2016-02-14,29
2016-02-21,26
2016-02-28,26
2016-03-06,25
2016-03-13,34
2016-03-20,27
2016-03-27,23
2016-04-03,25
2016-04-10,29
2016-04-17,29
2016-04-24,26
2016-05-01,28
2016-05-08,24
2016-05-15,24
2016-05-22,24
2016-05-29,28
2016-06-05,22
2016-06-12,21
2016-06-19,22
2016-06-26,24
2016-07-03,20
2016-07-10,22
2016-07-17,23
2016-07-24,20
2016-07-31,26
2016-08-07,26
2016-08-14,23
2016-08-21,22
2016-08-28,20
2016-09-04,22
2016-09-11,37
2016-09-18,30
2016-09-25,25
2016-10-02,26
2016-10-09,26
2016-10-16,23
2016-10-23,34
2016-10-30,33
2016-11-06,43
2016-11-13,52
2016-11-20,60
2016-11-27,46
