name,time,duration,max_unemp,gdp_decline
Great Depression,Aug 1929 – Mar 1933,3 years 7 months,25%,27%
Recession of 1937–1938,May 1937–June 1938,1 year 1 month,19%,18%
Recession of 1945,Feb–Oct 1945,8 months,5%,13%
Recession of 1949,Nov 1948 –Oct1949,11 months,8%,2%
Recession of 1953,July 1953 – May 1954,10 months,6%,3%
Recession of 1958,Aug 1957 – Apr 1958,8 months,8%,4%
Recession of 1960–61,Apr 1960 – Feb 1961,10 months,7%,2%
Recession of 1969–70,Dec 1969 –Nov 1970,11 months,6%,1%
1973–75 recession,Nov 1973 – Mar 1975,1 year 4 months,9%,3%
1980 recession,Jan–July 1980,6 months,8%,2%
1981–1982 recession,July 1981 – Nov 1982,1 year 4 months,11%,3%
Early 1990s recession,July 1990 – Mar 1991,8 months,8%,1%
Early 2000s recession,Mar 2001–Nov 2001,8 months,6%,0%
Great Recession,Dec 2007 – June 2009,1 year 6 months,10%,5%
